epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1402.62,1.21753,0.71599,1.36533,0.89247,0.81795,0.86612,0.4994,1.53209,0.79296,1.74839,0.000742625,0.000742625,0.000742625
43,1435.05,1.18633,0.70438,1.33809,0.86977,0.82964,0.88071,0.51401,1.49828,0.78564,1.68951,0.00073025,0.00073025,0.00073025
44,1468.13,1.17634,0.69419,1.32302,0.87219,0.83946,0.88904,0.51776,1.49702,0.77921,1.6618,0.000717875,0.000717875,0.000717875
45,1500.84,1.19439,0.70175,1.33881,0.92818,0.82454,0.88845,0.51608,1.50692,0.78769,1.689,0.0007055,0.0007055,0.0007055
46,1534.29,1.17023,0.67372,1.3247,0.91557,0.83792,0.89405,0.50874,1.52762,0.78369,1.70768,0.000693125,0.000693125,0.000693125
47,1568.62,1.16557,0.67075,1.32429,0.89512,0.79491,0.88077,0.50761,1.55219,0.77309,1.73349,0.00068075,0.00068075,0.00068075
48,1601.21,1.17406,0.66249,1.31767,0.89809,0.8441,0.89333,0.52544,1.50824,0.75827,1.679,0.000668375,0.000668375,0.000668375
49,1634.52,1.13652,0.64344,1.31003,0.89325,0.83877,0.88955,0.52203,1.51146,0.73657,1.71633,0.000656,0.000656,0.000656
50,1666.75,1.15793,0.67022,1.31834,0.89415,0.84486,0.88925,0.51174,1.53332,0.78005,1.69661,0.000643625,0.000643625,0.000643625
51,1700.35,1.13358,0.63673,1.29746,0.89425,0.84847,0.89087,0.51528,1.49528,0.78647,1.66432,0.00063125,0.00063125,0.00063125
52,1732.69,1.10448,0.6308,1.28079,0.9214,0.83606,0.88464,0.51447,1.53007,0.80159,1.70828,0.000618875,0.000618875,0.000618875
53,1766.14,1.09503,0.62112,1.27851,0.87802,0.84096,0.88348,0.51246,1.50736,0.78593,1.70503,0.0006065,0.0006065,0.0006065
54,1800.22,1.08874,0.6196,1.28014,0.90949,0.83849,0.89472,0.52731,1.51129,0.78692,1.7006,0.000594125,0.000594125,0.000594125
55,1832.82,1.09776,0.62141,1.28064,0.8856,0.8674,0.89129,0.50578,1.51602,0.7428,1.69396,0.00058175,0.00058175,0.00058175
56,1866.09,1.05569,0.60137,1.25556,0.90204,0.83406,0.88477,0.52567,1.50589,0.71543,1.71557,0.000569375,0.000569375,0.000569375
57,1898.46,1.08519,0.59995,1.27358,0.90724,0.84139,0.89146,0.53006,1.48828,0.72132,1.71247,0.000557,0.000557,0.000557
58,1932.39,1.04169,0.60276,1.24106,0.87184,0.86256,0.89327,0.52733,1.47693,0.78243,1.6919,0.000544625,0.000544625,0.000544625
59,1965,1.06474,0.59203,1.25335,0.9099,0.82371,0.88742,0.51356,1.5162,0.78729,1.72001,0.00053225,0.00053225,0.00053225
60,1998.45,1.06875,0.58953,1.25733,0.89,0.83096,0.88206,0.52191,1.5035,0.74946,1.68386,0.000519875,0.000519875,0.000519875
61,2032.53,1.06728,0.58769,1.24823,0.89891,0.84564,0.89798,0.52895,1.48786,0.73754,1.67816,0.0005075,0.0005075,0.0005075
62,2064.7,1.04251,0.58114,1.25347,0.91056,0.86025,0.90015,0.52768,1.49352,0.74344,1.69492,0.000495125,0.000495125,0.000495125
63,2097.58,1.02801,0.57486,1.23587,0.87273,0.8537,0.89292,0.53118,1.49634,0.76008,1.70345,0.00048275,0.00048275,0.00048275
64,2129.56,1.01703,0.56227,1.23276,0.89085,0.84668,0.89576,0.5272,1.52646,0.74268,1.7127,0.000470375,0.000470375,0.000470375
65,2162.32,1.0261,0.57624,1.23813,0.90257,0.85002,0.89647,0.51823,1.53829,0.74877,1.73759,0.000458,0.000458,0.000458
66,2194.46,1.0039,0.56772,1.21855,0.88603,0.86589,0.89079,0.52618,1.51471,0.74068,1.72003,0.000445625,0.000445625,0.000445625
